採否	語	content	一致	落とした理由
除外	スキーム	法制度	2/4	票が 2 件だけ
除外	スクエア	住居	1/1	票が 1 件だけ
除外	スクラッチ	情報	1/2	票が 1 件だけ
除外	スクラム	仕事	1/2	票が 1 件だけ
除外	スクランブル	交通	1/1	票が 1 件だけ
除外	スクリプト	情報	1/1	票が 1 件だけ
除外	スクリーニング	健康	2/4	票が 2 件だけ
除外	スクワット	身体	2/2	票が 2 件だけ
除外	スケジュール	仕事	3/12	首位の占有率 25% が閾値未満
除外	スケーラビリティ	情報	2/2	票が 2 件だけ
除外	スケーリング	情報	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	スケール	健康	2/3	票が 2 件だけ
除外	スコア	健康	2/4	票が 2 件だけ
除外	スコープ	努力	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	スズメ	自然	1/1	票が 1 件だけ
採用	スタイル	学習	6/11	
除外	スタック	交通	1/2	票が 1 件だけ
除外	スタッフ	家族	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	スタンディング	住居	2/2	票が 2 件だけ
除外	スタンドアップ	仕事	2/3	票が 2 件だけ
除外	スター	情報	1/1	票が 1 件だけ
除外	スターター	食事	1/1	票が 1 件だけ
除外	スタート	法制度	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
採用	スタートアップ	仕事	4/4	
除外	スチーム	住居	1/1	票が 1 件だけ
除外	スチームアイロン	住居	1/1	票が 1 件だけ
除外	スチームレス	住居	1/1	票が 1 件だけ
除外	ステップ	仕事	2/6	動作を指す名詞（サ変可能）; 票が 2 件だけ; 首位の占有率 33% が閾値未満
除外	ステレオタイプ	情報	1/1	票が 1 件だけ
採用	ステロイド	健康	4/7	
除外	ステンレス	食事	1/2	票が 1 件だけ
採用	ステークホルダー	仕事	4/6	
除外	ステーション	交通	2/5	票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	ステージ	健康	2/3	票が 2 件だけ
除外	ステータス	仕事	2/3	票が 2 件だけ
除外	ストップロスオーダー	金銭	1/1	票が 1 件だけ
除外	ストレス	健康	7/16	首位の占有率 44% が閾値未満
採用	ストレッチ	身体	3/4	
除外	ストレージ	情報	2/3	票が 2 件だけ
除外	ストレート	仕事	1/2	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	ストーリー	仕事	2/4	票が 2 件だけ
除外	ストーリーテリング	学習	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	スハ	交通	1/1	票が 1 件だけ
除外	スパイス	食事	1/1	票が 1 件だけ
除外	スパイラル	自然	1/1	票が 1 件だけ
除外	スパゲッティ	食事	1/1	票が 1 件だけ
除外	スパム	移動	1/1	票が 1 件だけ
除外	スパース	移動	1/1	性質を指す名詞（形状詞可能）; 票が 1 件だけ
採用	スピード	交通	3/6	
除外	スピードアップ	交通	1/2	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	スピード感	仕事	1/1	票が 1 件だけ
除外	スプリット	情報	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	スプリント	仕事	2/3	票が 2 件だけ
除外	スペクトラム	情報	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	スペクトル	学習	1/1	票が 1 件だけ
除外	スペーサー	交通	1/1	票が 1 件だけ
採用	スペース	住居	5/10	
除外	スポット	交通	2/2	票が 2 件だけ
除外	スポットライト	住居	1/1	票が 1 件だけ
除外	スポンジ	食事	1/2	票が 1 件だけ
除外	スポーツ	身体	3/4	動作を指す名詞（サ変可能）
除外	スマホ	家族	3/9	首位の占有率 33% が閾値未満
除外	スマートグリッド	金銭	1/2	票が 1 件だけ
除外	スマートシティ	自然	1/1	票が 1 件だけ
採用	スマートフォン	法制度	3/3	
除外	スモーク	健康	1/1	票が 1 件だけ
除外	スモールスタート	仕事	2/2	票が 2 件だけ
除外	スライス	食事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	スライド	仕事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	スラング	交通	1/1	票が 1 件だけ
除外	スラー	食事	1/1	票が 1 件だけ
除外	スリープ	努力	1/1	票が 1 件だけ
除外	スループット	情報	1/2	票が 1 件だけ
除外	スロット	情報	1/1	票が 1 件だけ
除外	スロープ	住居	1/1	票が 1 件だけ
除外	スワップ	情報	1/1	票が 1 件だけ
除外	スーパー	食事	2/3	票が 2 件だけ
除外	スーパーマーケット	金銭	1/2	票が 1 件だけ
除外	スープ	食事	1/1	票が 1 件だけ
除外	セカンド	家族	1/1	票が 1 件だけ
除外	セカンドオピニオン	健康	2/2	票が 2 件だけ
採用	セキュリティ	情報	9/16	
除外	セクション	仕事	1/1	票が 1 件だけ
除外	セクター	金銭	2/2	票が 2 件だけ
除外	セグメンテーション	情報	2/4	票が 2 件だけ
採用	セグメント	仕事	3/4	
除外	セグメントミディアス	自然	1/1	票が 1 件だけ
除外	セグメント化	仕事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	セッション	仕事	1/1	票が 1 件だけ
除外	セット	食事	2/6	動作を指す名詞（サ変可能）; 票が 2 件だけ; 首位の占有率 33% が閾値未満
採用	セミナー	仕事	3/3	
除外	セラピー	健康	1/1	票が 1 件だけ
除外	セラミック	食事	1/2	票が 1 件だけ
除外	セラミド	健康	1/2	票が 1 件だけ
除外	センサー	身体	2/8	票が 2 件だけ; 首位の占有率 25% が閾値未満
除外	センター	法制度	1/6	票が 1 件だけ; 首位の占有率 17% が閾値未満
除外	セントロイド	情報	1/1	票が 1 件だけ
除外	ゼロデイ	情報	1/1	票が 1 件だけ
除外	ゼロトラスト	情報	1/1	票が 1 件だけ
除外	ゼロヘパリン	健康	1/2	票が 1 件だけ
除外	ソフト	仕事	1/2	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	ソフトウェア	金銭	2/5	票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	ソリューション	仕事	2/5	票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	ソーシャル	情報	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ソーシャルメディア	金銭	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ソーシャルワーカー	健康	1/1	票が 1 件だけ
除外	ソース	食事	2/2	票が 2 件だけ
除外	ゾウ	自然	1/1	票が 1 件だけ
除外	ゾーン	情報	1/2	票が 1 件だけ
除外	タイト	仕事	1/1	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	タイプ	住居	4/12	首位の占有率 33% が閾値未満
除外	タイマー	食事	1/2	票が 1 件だけ
除外	タイミング	食事	4/18	首位の占有率 22% が閾値未満
除外	タイム	交通	3/8	首位の占有率 38% が閾値未満
除外	タイムシート	仕事	1/1	票が 1 件だけ
除外	タイムゾーン	情報	1/2	票が 1 件だけ
除外	タイヤ	交通	1/1	票が 1 件だけ
除外	タイル	交通	1/1	票が 1 件だけ
除外	タオル	身体	1/1	票が 1 件だけ
採用	タスク	仕事	6/12	
除外	タバコ	健康	1/2	票が 1 件だけ
除外	タブー	情報	1/1	票が 1 件だけ
除外	タンニン	食事	1/1	票が 1 件だけ
除外	タンパク質	健康	4/14	首位の占有率 29% が閾値未満
除外	タンポナーディゼス	身体	1/1	票が 1 件だけ
除外	タンポナーディネ	健康	1/2	票が 1 件だけ
除外	ターゲット	仕事	3/9	首位の占有率 33% が閾値未満
除外	ターゲティング	法制度	1/2	票が 1 件だけ
除外	ターミネーション	自然	1/1	票が 1 件だけ
除外	ダイナミクス	身体	1/2	票が 1 件だけ
除外	ダイニング	家族	1/2	票が 1 件だけ
除外	ダイバーシティ	自然	1/1	票が 1 件だけ
除外	ダイヤ	健康	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ダイヤモンド	食事	1/2	票が 1 件だけ
除外	ダウン	住居	1/2	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ダウンロード	情報	1/3	動作を指す名詞（サ変可能）; 票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ダッシュボード	仕事	2/2	票が 2 件だけ
除外	ダメージ	食事	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ダンス	身体	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	チェック	交通	6/24	動作を指す名詞（サ変可能）; 首位の占有率 25% が閾値未満
除外	チェックアウト	交通	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	チェックイン	交通	2/2	票が 2 件だけ
除外	チェックポイント	健康	1/2	票が 1 件だけ
除外	チェックリスト	仕事	1/1	票が 1 件だけ
除外	チェーン	情報	3/8	首位の占有率 38% が閾値未満
除外	チケット	交通	1/1	票が 1 件だけ
除外	チャット	仕事	1/4	動作を指す名詞（サ変可能）; 票が 1 件だけ; 首位の占有率 25% が閾値未満
除外	チャットボット	情報	1/2	票が 1 件だけ
除外	チャネル	身体	2/3	票が 2 件だけ
除外	チャプター	失敗	1/1	票が 1 件だけ
除外	チャンス	仕事	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	チャンネル	情報	1/1	票が 1 件だけ
除外	チャンバー	学習	1/1	票が 1 件だけ
除外	チャート	仕事	2/4	票が 2 件だけ
除外	チュートリアル	情報	1/2	票が 1 件だけ
除外	チューニング	情報	3/3	動作を指す名詞（サ変可能）
除外	チューブ	身体	1/1	票が 1 件だけ
除外	チョイス	食事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	チョウ	自然	1/1	票が 1 件だけ
除外	チョコレート	食事	1/1	票が 1 件だけ
除外	チンパンジー	自然	1/1	票が 1 件だけ
除外	チーズ	自然	1/1	票が 1 件だけ
採用	チーム	仕事	15/28	
除外	チームビルディング	移動	1/1	票が 1 件だけ
採用	チームメンバー	仕事	6/8	
除外	チームリーダー	仕事	1/1	票が 1 件だけ
採用	チームワーク	仕事	3/5	
除外	チーム内	仕事	1/2	票が 1 件だけ
除外	ツイン	交通	1/1	票が 1 件だけ
除外	ツーリズム	自然	1/1	票が 1 件だけ
除外	ツール	仕事	10/38	首位の占有率 26% が閾値未満
除外	ティック	交通	1/1	票が 1 件だけ
除外	テイン	食事	1/1	票が 1 件だけ
除外	テキスト	学習	1/1	票が 1 件だけ
除外	テクスチャ	住居	1/2	票が 1 件だけ
除外	テクニカルデブート	仕事	1/1	票が 1 件だけ
除外	テクニック	情報	2/6	票が 2 件だけ; 首位の占有率 33% が閾値未満
除外	テクノロジー	家族	1/1	票が 1 件だけ
除外	テクフレーム	金銭	1/1	票が 1 件だけ
除外	テスト	情報	4/11	動作を指す名詞（サ変可能）; 首位の占有率 36% が閾値未満
除外	テスト環境	仕事	1/1	票が 1 件だけ
除外	テニス	身体	1/1	票が 1 件だけ
除外	テフロン	食事	1/2	票が 1 件だけ
除外	テレビ	家族	1/1	票が 1 件だけ
除外	テレワーク	仕事	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	テロワール	食事	1/1	票が 1 件だけ
除外	テンション	食事	1/1	票が 1 件だけ
採用	テンプレート	仕事	3/6	
除外	テーブル	住居	1/5	票が 1 件だけ; 首位の占有率 20% が閾値未満
除外	テーブルクロス	家族	1/2	票が 1 件だけ
除外	テープ	情報	1/1	票が 1 件だけ
除外	テーマ	仕事	4/17	首位の占有率 24% が閾値未満
除外	ディスカッション	仕事	1/2	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ディスク	情報	1/2	票が 1 件だけ
除外	ディスタンス	交通	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ディスプレイ	情報	1/1	票が 1 件だけ
除外	ディスレクシア	学習	1/1	票が 1 件だけ
除外	ディップ	食事	1/1	票が 1 件だけ
除外	ディテール	情報	1/1	票が 1 件だけ
除外	ディナー	交通	1/1	票が 1 件だけ
除外	ディベロッパー	金銭	1/1	票が 1 件だけ
除外	ディープラーニング	学習	2/3	票が 2 件だけ
除外	デイサービス	家族	1/2	票が 1 件だけ
除外	デイサービスセンター	金銭	1/2	票が 1 件だけ
除外	デイリー	仕事	1/2	票が 1 件だけ
除外	デカフェ	食事	2/2	票が 2 件だけ
除外	デザイナー	仕事	1/1	票が 1 件だけ
除外	デザイン	情報	3/13	動作を指す名詞（サ変可能）; 首位の占有率 23% が閾値未満
除外	デザイン思考	仕事	1/1	票が 1 件だけ
除外	デザート	食事	2/2	票が 2 件だけ
除外	デジタル	法制度	4/18	性質を指す名詞（形状詞可能）; 首位の占有率 22% が閾値未満
除外	デジタルフォレンジック	法制度	2/2	票が 2 件だけ
除外	デスク	住居	2/2	票が 2 件だけ
除外	デタッチメント	食事	1/1	票が 1 件だけ
除外	デッキング	住居	1/1	票が 1 件だけ
除外	デッド	住居	1/1	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	デトックス	家族	1/2	票が 1 件だけ
除外	デバイス	情報	2/4	票が 2 件だけ
除外	デフォルト	住居	1/1	票が 1 件だけ
除外	デプロイメント	情報	1/2	票が 1 件だけ
除外	デマ	健康	1/1	票が 1 件だけ
除外	デメリット	情報	2/9	票が 2 件だけ; 首位の占有率 22% が閾値未満
除外	デモ	仕事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	デリバリー	食事	1/1	票が 1 件だけ
除外	データ	情報	13/63	首位の占有率 21% が閾値未満
除外	データセット	情報	3/7	首位の占有率 43% が閾値未満
除外	データベース	情報	2/6	票が 2 件だけ; 首位の占有率 33% が閾値未満
除外	データモデリング	情報	1/1	票が 1 件だけ
除外	データ分析	仕事	4/9	動作を指す名詞（サ変可能）; 首位の占有率 44% が閾値未満
除外	デート	家族	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	トイレ	住居	2/3	票が 2 件だけ
除外	トイレットペーパー	住居	1/1	票が 1 件だけ
除外	トップス	住居	1/1	票が 1 件だけ
除外	トップダウン	仕事	1/1	票が 1 件だけ
除外	トップレベル	仕事	1/1	票が 1 件だけ
除外	トピック	学習	1/1	票が 1 件だけ
除外	トマト	食事	1/1	票が 1 件だけ
除外	トライアル	仕事	1/1	票が 1 件だけ
除外	トラウマ	健康	1/1	票が 1 件だけ
除外	トラッキング	交通	1/1	票が 1 件だけ
除外	トラック	交通	2/2	票が 2 件だけ
採用	トラフィック	情報	3/3	
採用	トラブル	法制度	5/10	
除外	トラブルシューティング	金銭	1/1	票が 1 件だけ
除外	トランザクション	情報	2/5	票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	トランジション	学習	1/1	票が 1 件だけ
除外	トランジット	交通	1/1	票が 1 件だけ
除外	トランスピエント	自然	1/1	票が 1 件だけ
除外	トランスペレーター	自然	1/1	票が 1 件だけ
除外	トリガー	学習	1/1	票が 1 件だけ
除外	トリプル	健康	1/2	票が 1 件だけ
除外	トルテージ	食事	1/1	票が 1 件だけ
除外	トレンド	情報	2/10	票が 2 件だけ; 首位の占有率 20% が閾値未満
除外	トレーサビリティ	金銭	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	トレードオフ	情報	2/2	票が 2 件だけ
除外	トレーニング	身体	4/15	動作を指す名詞（サ変可能）; 首位の占有率 27% が閾値未満
除外	トロッコ	交通	1/1	票が 1 件だけ
除外	トロポニン	身体	2/2	票が 2 件だけ
除外	トンネル	交通	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	トーク	仕事	1/1	票が 1 件だけ
除外	トークン	情報	2/3	票が 2 件だけ
除外	トータル	交通	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	トーン	健康	1/1	票が 1 件だけ
除外	ドキュメント	情報	2/5	票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	ドット	情報	1/1	票が 1 件だけ
除外	ドナー	身体	1/1	票が 1 件だけ
除外	ドメイン	交通	1/1	票が 1 件だけ
除外	ドライアイ	健康	1/1	票が 1 件だけ
除外	ドライバ	情報	1/1	票が 1 件だけ
除外	ドライブレコーダー	金銭	1/2	票が 1 件だけ
除外	ドライヤー	身体	1/2	票が 1 件だけ
除外	ドラマ	家族	1/1	票が 1 件だけ
除外	ドリンク	食事	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ドリーム	健康	1/1	票が 1 件だけ
除外	ドレナージ	健康	1/1	票が 1 件だけ
除外	ドロップ	食事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ドロップアウト	家族	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ドローン	交通	1/1	票が 1 件だけ
除外	ドーパミン	身体	1/1	票が 1 件だけ
除外	ナイフ	住居	1/1	票が 1 件だけ
除外	ナゲット	食事	1/1	票が 1 件だけ
除外	ナッツ	食事	1/1	票が 1 件だけ
除外	ナトリウム	自然	1/1	票が 1 件だけ
除外	ナノテクノロジー	健康	1/1	票が 1 件だけ
除外	ナビゲーション	交通	1/1	票が 1 件だけ
除外	ナラティブ	状態	1/1	票が 1 件だけ
除外	ナレッジマネジメント	移動	1/1	票が 1 件だけ
除外	ナンバー	金銭	1/1	票が 1 件だけ
除外	ナンプラー	食事	1/1	票が 1 件だけ
除外	ニキビ	健康	1/2	票が 1 件だけ
除外	ニコチン	健康	2/3	票が 2 件だけ
除外	ニッチ	状態	1/2	票が 1 件だけ
除外	ニュアンス	仕事	2/6	票が 2 件だけ; 首位の占有率 33% が閾値未満
除外	ニュース	法制度	2/7	票が 2 件だけ; 首位の占有率 29% が閾値未満
除外	ニューラル	情報	2/2	性質を指す名詞（形状詞可能）; 票が 2 件だけ
除外	ニューロン	身体	1/1	票が 1 件だけ
除外	ニーズ	仕事	8/20	首位の占有率 40% が閾値未満
除外	ネイティブ	情報	1/2	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	ネガティブ	健康	2/6	性質を指す名詞（形状詞可能）; 票が 2 件だけ; 首位の占有率 33% が閾値未満
除外	ネグレクト	家族	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ネック	学習	2/7	票が 2 件だけ; 首位の占有率 29% が閾値未満
除外	ネット	自然	1/5	票が 1 件だけ; 首位の占有率 20% が閾値未満
除外	ネットワーク	情報	11/27	首位の占有率 41% が閾値未満
採用	ノイズ	情報	8/16	
除外	ノウハウ	仕事	2/4	票が 2 件だけ
除外	ノスタルジー	仕事	1/1	票が 1 件だけ
除外	ノズル	交通	1/1	票が 1 件だけ
除外	ノンフロン	食事	1/2	票が 1 件だけ
除外	ノンリターン	住居	1/1	票が 1 件だけ
除外	ノンレム	状態	1/2	票が 1 件だけ
除外	ノーコード	情報	1/1	票が 1 件だけ
除外	ノート	住居	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ノード	金銭	1/1	票が 1 件だけ
除外	ハイクオリティイミグラント	仕事	1/1	長すぎる; 票が 1 件だけ
除外	ハイドロ	交通	1/1	票が 1 件だけ
除外	ハイドロリゾミス	健康	1/2	票が 1 件だけ
除外	ハイブリッド	交通	2/4	票が 2 件だけ
除外	ハイブリッド車	金銭	1/2	票が 1 件だけ
除外	ハイポーズ	学習	1/1	票が 1 件だけ
除外	ハサミ	住居	1/1	票が 1 件だけ
除外	ハザードマップ	交通	1/1	票が 1 件だけ
除外	ハチ	自然	1/1	票が 1 件だけ
除外	ハッキング	金銭	1/2	票が 1 件だけ
除外	ハナシジミ	自然	1/1	票が 1 件だけ
除外	ハニー	家族	1/1	票が 1 件だけ
除外	ハラスメント	仕事	1/2	票が 1 件だけ
除外	ハラペーニョ	食事	1/1	票が 1 件だけ
除外	ハンガー	住居	1/1	票が 1 件だけ
除外	ハンド	交通	1/1	票が 1 件だけ
除外	ハンドリング	交通	1/1	票が 1 件だけ
除外	ハンマー	食事	1/1	票が 1 件だけ
除外	ハード	家族	1/1	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	ハードウェア	情報	2/2	票が 2 件だけ
除外	ハードル	仕事	3/9	首位の占有率 33% が閾値未満
除外	ハーブ	食事	1/1	票が 1 件だけ
除外	バイ	交通	1/1	票が 1 件だけ
除外	バイアス	情報	3/8	首位の占有率 38% が閾値未満
除外	バイオ	食事	1/2	票が 1 件だけ
除外	バイオアッセイ	自然	1/1	票が 1 件だけ
除外	バイオプシー	身体	1/2	票が 1 件だけ
除外	バイオマス	自然	1/1	票が 1 件だけ
除外	バグ	金銭	1/1	票が 1 件だけ
除外	バズビー	自然	1/1	票が 1 件だけ
除外	バター	食事	2/2	票が 2 件だけ
除外	バチルス	自然	1/1	票が 1 件だけ
除外	バック	健康	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	バックアップ	情報	2/6	動作を指す名詞（サ変可能）; 票が 2 件だけ; 首位の占有率 33% が閾値未満
除外	バックエンド	情報	1/2	票が 1 件だけ
除外	バックグラウンド	交通	1/1	票が 1 件だけ
除外	バックルズ	情報	1/1	票が 1 件だけ
除外	バックログ	交通	1/1	票が 1 件だけ
除外	バッチ	交通	1/1	票が 1 件だけ
除外	バッテリー	交通	2/4	票が 2 件だけ
除外	バッファ	仕事	1/2	票が 1 件だけ
除外	バディ	学習	1/1	票が 1 件だけ
除外	バラ	食事	2/2	票が 2 件だけ
除外	バラエティ	交通	1/1	票が 1 件だけ
除外	バランス	食事	11/56	動作を指す名詞（サ変可能）; 首位の占有率 20% が閾値未満
除外	バリア	健康	1/1	票が 1 件だけ
除外	バリアフリー	住居	1/1	票が 1 件だけ
除外	バリエーション	住居	1/1	票が 1 件だけ
除外	バリュエーション	仕事	1/1	票が 1 件だけ
除外	バリュー	仕事	1/1	票が 1 件だけ
除外	バルブ	健康	1/2	票が 1 件だけ
除外	バー	金銭	1/1	票が 1 件だけ
除外	バーコード	金銭	1/2	票が 1 件だけ
除外	バーコードスキャナー	金銭	1/1	票が 1 件だけ
除外	バージョン	情報	2/3	票が 2 件だけ
除外	バーチャル	住居	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	バーナー	食事	1/1	票が 1 件だけ
除外	パイプライン	情報	1/2	票が 1 件だけ
除外	パウダー	食事	1/1	票が 1 件だけ
除外	パスタ	食事	1/1	票が 1 件だけ
除外	パスポート	法制度	1/2	票が 1 件だけ
除外	パスワード	情報	2/4	票が 2 件だけ
除外	パズル	自然	1/2	票が 1 件だけ
除外	パソコン	法制度	2/5	票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	パターン	仕事	5/29	首位の占有率 17% が閾値未満
除外	パチ	身体	1/1	名詞でない（副詞）; 票が 1 件だけ
除外	パッキン	住居	1/1	票が 1 件だけ
除外	パック	食事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	パッケージ	交通	1/2	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	パッケージング	自然	1/2	票が 1 件だけ
除外	パッチ	情報	1/2	票が 1 件だけ
除外	パッド	交通	1/1	票が 1 件だけ
除外	パトロールカー	交通	1/1	票が 1 件だけ
採用	パフォーマンス	情報	8/14	
除外	パラメータ	情報	3/7	首位の占有率 43% が閾値未満
除外	パルス	健康	1/1	票が 1 件だけ
除外	パルミト	食事	1/1	票が 1 件だけ
除外	パレット	交通	2/4	票が 2 件だけ
除外	パワハラスメント	仕事	1/1	票が 1 件だけ
除外	パワー	交通	1/2	票が 1 件だけ
除外	パワーハラスメント	仕事	1/1	票が 1 件だけ
採用	パン	食事	3/4	
除外	パンタグラフ	交通	1/1	票が 1 件だけ
除外	パンメイド	食事	1/1	票が 1 件だけ
除外	パーキングエリア	交通	1/1	票が 1 件だけ
除外	パーク	交通	1/1	票が 1 件だけ
除外	パーセント	食事	2/3	品詞から取れる（助数詞可能 → #数量）; 票が 2 件だけ
除外	パーソナライズ	仕事	3/4	動作を指す名詞（サ変可能）
除外	パーソナル	住居	1/5	性質を指す名詞（形状詞可能）; 票が 1 件だけ; 首位の占有率 20% が閾値未満
除外	パーティション	情報	1/1	票が 1 件だけ
除外	パートナーシップ	仕事	1/1	票が 1 件だけ
除外	ヒアリング	仕事	2/4	票が 2 件だけ
除外	ヒオドウ	自然	1/1	票が 1 件だけ
除外	ヒストン	自然	2/2	票が 2 件だけ
除外	ヒダ	身体	1/1	票が 1 件だけ
除外	ヒット	仕事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ヒト	身体	2/3	票が 2 件だけ
除外	ヒラメ	食事	1/1	票が 1 件だけ
除外	ヒント	学習	1/2	票が 1 件だけ
除外	ヒーター	住居	2/3	票が 2 件だけ
除外	ビザ	法制度	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
採用	ビジネス	仕事	6/9	
除外	ビジネスパートナー	法制度	1/1	票が 1 件だけ
除外	ビジネスモデル	仕事	2/3	票が 2 件だけ
除外	ビジネス環境	仕事	1/1	票が 1 件だけ
除外	ビジョン	仕事	2/3	票が 2 件だけ
除外	ビタミン	健康	1/2	票が 1 件だけ
除外	ビット	情報	1/1	品詞から取れる（助数詞可能 → #数量）; 票が 1 件だけ
除外	ビデオ	健康	1/4	票が 1 件だけ; 首位の占有率 25% が閾値未満
除外	ビニール	食事	1/1	票が 1 件だけ
除外	ビフィズス	食事	1/1	票が 1 件だけ
除外	ビフィドバクテリウム	自然	1/1	票が 1 件だけ
除外	ビュッフェ	交通	1/1	票が 1 件だけ
除外	ビーチ	交通	1/1	票が 1 件だけ
除外	ピア	学習	1/1	票が 1 件だけ
除外	ピアサポート	学習	1/1	票が 1 件だけ
除外	ピアノ	身体	1/1	票が 1 件だけ
除外	ピクセル	情報	2/3	票が 2 件だけ
採用	ピッキング	交通	3/3	
除外	ピックアップ	交通	2/2	動作を指す名詞（サ変可能）; 票が 2 件だけ
除外	ピッチ	仕事	1/1	票が 1 件だけ
除外	ピボット	仕事	1/1	票が 1 件だけ
除外	ピロコーン	法制度	1/1	票が 1 件だけ
除外	ピング	食事	1/1	票が 1 件だけ
除外	ピント	学習	1/1	票が 1 件だけ
除外	ピーク	移動	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ピーナッツ	健康	1/2	票が 1 件だけ
除外	ファイアウォール	情報	1/1	票が 1 件だけ
除外	ファイバー	住居	2/4	票が 2 件だけ
除外	ファイル	情報	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	ファイン	情報	1/1	票が 1 件だけ
除外	ファキーショナル	情報	1/1	票が 1 件だけ
除外	ファクター	学習	2/3	票が 2 件だけ
除外	ファシリテーション	仕事	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ファッション	法制度	1/2	票が 1 件だけ
除外	ファミリー	家族	1/1	票が 1 件だけ
除外	ファミレス	食事	1/1	票が 1 件だけ
除外	ファンダメンタルズ	金銭	1/1	性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	ファンド	金銭	2/4	票が 2 件だけ
除外	ファージ	自然	1/1	票が 1 件だけ
除外	ファースト	身体	1/1	票が 1 件だけ
除外	ファームウェア	情報	2/2	票が 2 件だけ
除外	フィッシング	情報	2/4	票が 2 件だけ
除外	フィット	健康	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	フィメール	食事	1/1	票が 1 件だけ
除外	フィラメント	自然	1/2	票が 1 件だけ
除外	フィルタ	状態	1/2	票が 1 件だけ
除外	フィルタリング	移動	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
採用	フィルター	住居	3/4	
除外	フィーチャー	仕事	1/1	動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	フィードバック	仕事	6/18	動作を指す名詞（サ変可能）; 首位の占有率 33% が閾値未満
除外	フィールドワーク	交通	1/2	票が 1 件だけ
除外	フェアネス	情報	1/1	票が 1 件だけ
除外	フェンダー	交通	1/1	票が 1 件だけ
除外	フェーズ	仕事	1/1	票が 1 件だけ
除外	フォニックス	学習	1/1	票が 1 件だけ
採用	フォローアップ	仕事	3/5	
除外	フォワーディング	交通	2/2	票が 2 件だけ
